City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Omboue,GA,-1.5746,9.2618,77.74,89,83,7.9,broken clouds
124,Airai,TL,-8.9266,125.4092,59.92,90,100,2.51,light rain
125,Te Anau,NZ,-45.4167,167.7167,52.3,90,38,0.96,scattered clouds
126,Lar,IN,26.2039,83.9717,56.61,59,5,3.78,clear sky
127,Teguldet,RU,57.3064,88.1667,-4.97,100,100,3.11,overcast clouds
128,Peniche,PT,39.3558,-9.3811,54.88,73,4,7.27,clear sky
129,Laguna,US,38.421,-121.4238,66.04,48,0,10.0,clear sky
130,Soure,BR,-0.7167,-48.5233,81.21,79,100,10.33,overcast clouds
131,Ginda,IN,30.6945,78.4932,36.63,61,8,6.33,clear sky
132,Nome,US,64.5011,-165.4064,22.15,86,100,18.41,light snow
133,East London,ZA,-33.0153,27.9116,76.5,84,0,13.78,clear sky
134,Mount Gambier,AU,-37.8333,140.7667,64.87,41,94,6.04,overcast clouds
135,Nanortalik,GL,60.1432,-45.2371,16.61,69,94,6.8,overcast clouds
136,Port Lincoln,AU,-34.7333,135.8667,68.58,99,100,9.19,light rain
137,Melfi,IT,40.9965,15.6514,41.4,95,96,3.53,overcast clouds
138,Sinnamary,GF,5.3833,-52.95,79.02,86,72,11.54,broken clouds
139,Cabo San Lucas,MX,22.8909,-109.9124,80.62,42,0,5.01,clear sky
140,Lardos,GR,36.0942,28.0157,55.22,81,93,12.21,overcast clouds
141,Ballitoville,ZA,-29.539,31.2144,77.25,73,17,3.22,few clouds
142,Rudnyy,KZ,52.9594,63.1206,-13.76,100,63,1.3,broken clouds
143,Nueve De Julio,AR,-35.4444,-60.8831,85.62,69,70,11.59,heavy intensity rain
144,Cap Malheureux,MU,-19.9842,57.6142,82.89,86,17,8.99,few clouds
145,Paamiut,GL,61.994,-49.6678,9.54,79,100,10.36,overcast clouds
146,Ilinge,ZA,-31.9768,27.0427,67.28,77,2,7.45,clear sky
147,Chokurdakh,RU,70.6333,147.9167,-40.92,100,100,4.83,overcast clouds
148,Lensk,RU,60.7253,114.9278,7.86,95,98,7.02,overcast clouds
149,Chabahar,IR,25.2919,60.643,62.8,36,0,25.57,clear sky
