City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
26,Hobart,AU,2022-01-21 16:54:29,-42.8794,147.3294,57.06,88,0,2.3
27,Touros,BR,2022-01-21 16:54:29,-5.1989,-35.4608,88.7,54,41,11.9
28,Punta Arenas,CL,2022-01-21 16:54:29,-53.15,-70.9167,69.82,76,40,6.91
29,Kalanchak,UA,2022-01-21 16:54:30,46.2562,33.2907,30.97,56,100,8.05
30,Provideniya,RU,2022-01-21 16:49:37,64.3833,-173.3,2.73,94,98,16.82
31,Azare,NG,2022-01-21 16:54:30,11.6765,10.1948,74.61,18,14,8.12
32,Mataura,NZ,2022-01-21 16:54:30,-46.1927,168.8643,55.47,93,57,3.76
33,Carnarvon,AU,2022-01-21 16:54:31,-24.8667,113.6333,86.07,37,1,18.41
34,Conceicao Do Araguaia,BR,2022-01-21 16:54:31,-8.2578,-49.2647,90.0,51,3,5.66
35,Fort Nelson,CA,2022-01-21 16:54:31,58.8053,-122.7002,-2.61,78,100,3.44
36,Hami,CN,2022-01-21 16:54:32,42.8,93.45,26.29,48,48,0.18
37,Isangel,VU,2022-01-21 16:54:32,-19.55,169.2667,79.09,89,76,7.16
38,Kahului,US,2022-01-21 16:54:32,20.8947,-156.47,73.85,85,4,5.01
39,Bredasdorp,ZA,2022-01-21 16:54:33,-34.5322,20.0403,77.29,64,0,19.57
40,Saint-Philippe,RE,2022-01-21 16:54:33,-21.3585,55.7679,81.99,83,44,16.28
41,Changji,CN,2022-01-21 16:54:33,44.0167,87.3167,20.19,93,100,2.24
42,Muroto,JP,2022-01-21 16:54:34,33.2833,134.15,43.5,59,100,4.72
43,Mount Isa,AU,2022-01-21 16:49:35,-20.7333,139.5,76.77,100,75,6.91
44,Liverpool,GB,2022-01-21 16:54:34,53.4106,-2.9779,44.55,82,75,5.01
45,Alyangula,AU,2022-01-21 16:54:34,-13.8483,136.4192,78.67,100,95,1.14
46,Copiapo,CL,2022-01-21 16:54:35,-27.3667,-70.3333,67.69,28,0,10.0
47,East London,ZA,2022-01-21 16:54:35,-33.0153,27.9116,77.94,83,20,11.5
48,Komsomolskiy,UZ,2022-01-21 16:55:35,40.4272,71.7189,36.82,69,9,4.61
49,Gat,IL,2022-01-21 16:55:03,31.61,34.7642,52.81,23,10,6.24
50,Dalvik,IS,2022-01-21 16:55:36,65.9702,-18.5286,39.13,72,46,28.12
51,Kapaa,US,2022-01-21 16:55:36,22.0752,-159.319,72.43,79,0,3.22
52,Strai,NO,2022-01-21 16:55:36,58.2,7.9,43.63,77,0,3.44
53,Kewanee,US,2022-01-21 16:55:37,41.2456,-89.9248,19.44,70,5,6.89
54,Port Elizabeth,ZA,2022-01-21 16:55:37,-33.918,25.5701,77.29,83,75,11.5
55,Rincon,US,2022-01-21 16:55:37,32.296,-81.2354,42.98,90,100,8.5
56,Coihaique,CL,2022-01-21 16:55:38,-45.5752,-72.0662,63.21,65,75,9.66
57,Arraial Do Cabo,BR,2022-01-21 16:55:38,-22.9661,-42.0278,87.76,70,20,13.8
58,Saint-Pierre,RE,2022-01-21 16:55:38,-21.3393,55.4781,82.08,83,0,4.61
59,Atagay,RU,2022-01-21 16:55:39,55.1033,99.3875,-7.8,100,100,2.57
60,Dunedin,NZ,2022-01-21 16:55:34,-45.8742,170.5036,56.8,81,13,3.0
61,Bluff,NZ,2022-01-21 16:55:39,-46.6,168.3333,55.8,75,91,18.3
62,Casteltermini,IT,2022-01-21 16:55:39,37.5405,13.6445,47.88,69,58,5.97
63,General Pico,AR,2022-01-21 16:51:13,-35.6566,-63.7568,79.99,78,86,7.94
64,Rognan,NO,2022-01-21 16:55:40,67.0953,15.3878,26.89,86,99,7.96
65,Esperance,AU,2022-01-21 16:55:40,-33.8667,121.9,66.04,89,39,9.15
66,College,US,2022-01-21 16:55:41,64.8569,-147.8028,6.78,80,0,3.44
