City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Bambous Virieux,MU,82.65,light rain,-20.3428,57.7575,Casa Tia Villa
292,Viedma,AR,81.97,clear sky,-40.8135,-62.9967,Hotel Cristal
295,Bubaque,GW,79.32,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
296,Lodwar,KE,85.89,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
297,Mar Del Plata,AR,80.1,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
299,Kununurra,AU,76.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
302,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
307,Juba,SS,82.44,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
308,Abengourou,CI,77.5,clear sky,6.7297,-3.4964,Hotel des Princes
316,Samarai,PG,79.93,overcast clouds,-10.6167,150.6667,Nuli Sapi
317,Bambanglipuro,ID,76.33,overcast clouds,-7.95,110.2833,Puri Brata
320,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
322,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
323,Muisne,EC,82.51,overcast clouds,0.6,-80.0333,Quinta Samay
327,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
337,Camocim,BR,86.13,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
338,Poum,NC,81.09,few clouds,-20.2333,164.0167,Gîte kajeon
343,Kavaratti,IN,80.11,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
348,Vao,NC,78.26,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
353,Marsh Harbour,BS,77.79,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
365,Sulangan,PH,78.78,overcast clouds,11.1373,123.7228,Maia's Beach Resort
370,Farafangana,MG,75.45,overcast clouds,-22.8167,47.8333,Miarina
